noise_rate,cleancore_acc,cleancore_f1,gradmatch_acc,gradmatch_f1,deem_acc,deem_f1
0.06,0.9631217838765008,0.9633183027123614,0.9465408805031447,0.9468921031063033,0.9299599771297884,0.9307737600583392
0.12,0.9594053744997141,0.9596726847515485,0.9373927958833619,0.9380656843217151,0.9465408805031447,0.9469382189991851
0.18,0.9596912521440824,0.9597512576281526,0.9493996569468267,0.9497122061041188,0.9471126357918811,0.9473808121921568
0.24,0.9382504288164666,0.938051382662402,0.8790737564322469,0.8796984712526941,0.9353916523727844,0.9363187959600404
0.30,0.9539736992567182,0.953955522208888,0.8990851915380217,0.9003187748572783,0.9531160663236135,0.9536598748927565
