dataset,covertype,covertype,covertype,covertype,covertype,sensorless,sensorless,sensorless,sensorless,sensorless,pendigits,pendigits,pendigits,pendigits,pendigits,magic,magic,magic,magic,magic,miniboone,miniboone,miniboone,miniboone,miniboone
subset_fraction,0.02,0.04,0.06,0.08,0.1,0.02,0.04,0.06,0.08,0.1,0.04,0.08,0.12,0.16,0.2,0.04,0.08,0.12,0.16,0.2,0.02,0.04,0.06,0.08,0.1
accuracy,0.7979260789122671,0.8093025257088765,0.8206617615421024,0.8302482681468095,0.8412632847123618,0.922676008202324,0.9383116883116883,0.9452323991797676,0.9530075187969925,0.9581339712918661,0.9413950829045169,0.9462550028587764,0.9539736992567182,0.9579759862778731,0.9634076615208691,0.8341655716162943,0.8470433639947438,0.8530880420499343,0.8538764783180026,0.8609724047306176,0.8879022027447815,0.8902856264175605,0.8946296082727867,0.8943989543689693,0.8967054934071426
total_time_sec,68.0693075619638,72.50255325809121,129.6168940514326,214.83965723216534,227.40091186761856,7.054516591131687,11.107826501131058,13.846667528152466,16.376069344580173,18.80500688776374,1.4935160540044308,2.3687554262578487,3.81457207351923,4.499035000801086,5.074799541383982,1.7664746530354023,3.5803177319467068,2.840813186019659,7.622797809541225,11.574167903512716,11.999386604875326,14.065388083457947,17.096850261092186,19.42627738416195,22.868366971611977
