dataset,noise_type,noise_rate,method,accuracy,macro_f1,macro_precision,macro_recall,total_time_sec,method_time_sec,train_time_sec,epochs_ran,n_train_input,n_train_selected
covertype,random,0.06,cleancore,0.8455316036315133,0.7599826749670049,0.8064266247618858,0.7304320640278344,108.5671556852758,108.16508689522743,89.41579185426235,180.0,464807.0,23240.0
covertype,random,0.06,gradmatch,0.8092853147454929,0.6658516580224167,0.757116215776897,0.6301387282179088,43.94812434911728,43.551613353192806,39.32173712179065,180.0,464807.0,12240.0
covertype,random,0.06,deem,0.702439654059636,0.48065088781528903,0.6078187346099669,0.4653091891575136,287.74140179529786,287.36281698197126,22.5215557590127,52.0,464807.0,23240.0
covertype,random,0.12,cleancore,0.8373563960242675,0.7454520454358414,0.7909932694213194,0.7150979762905273,107.06815489754081,106.5153645761311,89.6036532074213,180.0,464807.0,23240.0
covertype,random,0.12,gradmatch,0.8006023837184286,0.634174399037807,0.7506556692558305,0.5945290218165845,42.72356516122818,42.330124124884605,38.25585529208183,180.0,464807.0,12240.0
covertype,random,0.12,deem,0.7363624628888602,0.5231244743278229,0.6248670069317083,0.4984654048772233,312.16456197202206,311.76211366802454,22.457422647625208,52.0,464807.0,23240.0
covertype,random,0.18,cleancore,0.8244051460780517,0.7089257861911478,0.7761155063629419,0.6726288814720116,103.7826386578381,103.35640139132738,78.20056285709143,126.0,464807.0,23238.0
covertype,random,0.18,gradmatch,0.7989415257519039,0.6394061273184658,0.7435966376402935,0.6088958314989651,42.93329034745693,42.523898262530565,38.50512097403407,180.0,464807.0,12240.0
covertype,random,0.18,deem,0.7391076115485564,0.5141764884880324,0.6482106236608597,0.4861750765673944,280.8249729499221,280.4446990378201,22.5930798612535,52.0,464807.0,23240.0
covertype,random,0.24,cleancore,0.818183382814853,0.688725539861245,0.7719027228593826,0.6509160873100412,106.87267985194921,106.4364156126976,78.23009946197271,127.0,464807.0,23237.0
covertype,random,0.24,gradmatch,0.7794328987565079,0.612121732307082,0.7053501512597137,0.591260912036018,32.38591495901346,32.00816722586751,29.4310510084033,107.0,464807.0,12240.0
covertype,random,0.24,deem,0.7442106621918162,0.511985430982671,0.6860564525873432,0.48503610639516687,303.6048705615103,303.2216563858092,22.473447360098362,52.0,464807.0,23240.0
