pretrain_epochs,cleancore_acc,gradmatch_acc,deem_acc,cleancore_time,gradmatch_time,deem_time
4,0.9622641509433962,0.9048027444253859,0.9119496855345912,2.052233636379242,1.9985804446041584,4.790352378040552
8,0.965980560320183,0.9102344196683819,0.9431103487707261,2.373451557010412,2.2328854724764824,5.270442735403776
12,0.952544311034877,0.8970840480274442,0.9210977701543739,2.6672249659895897,3.1811413280665874,5.813288990408182
16,0.9599771297884505,0.8973699256718125,0.9368210405946255,2.984055731445551,1.9796390049159527,5.824054524302483
20,0.9596912521440824,0.9299599771297884,0.9373927958833619,3.223814733326435,2.41836179420352,6.514692086726427
