pretrain_epochs,cleancore_acc,gradmatch_acc,deem_acc,cleancore_time,gradmatch_time,deem_time
4,0.8962441855995079,0.8227809172336908,0.8586860415945873,10.966659225523472,10.458465851843357,21.245676036924124
8,0.8968977049936571,0.8372736708568792,0.879906200745781,20.120437879115343,14.829534601420164,26.613907255232334
12,0.9029715911275131,0.829892745934725,0.8855956637066082,18.754900474101305,20.385676950216293,28.735834285616875
16,0.8997039941567677,0.8273939953100373,0.8680659670164917,23.435510393232107,36.450175654143095,34.82964111492038
20,0.9058932072425325,0.8099411832545266,0.8888632606773537,26.930352304130793,28.673591684550047,39.24550872296095
