pretrain_epochs,cleancore_acc,gradmatch_acc,deem_acc,cleancore_time,gradmatch_time,deem_time
4,0.9167805878332194,0.8626110731373889,0.8151913875598086,6.631131894886494,4.889851976186037,11.736702919006348
8,0.9309637730690362,0.8403964456596036,0.831766917293233,8.636049561202526,6.2403391264379025,13.273234281688929
12,0.9319036226930963,0.8203178400546821,0.7918660287081339,10.187793910503387,9.734387274831533,14.949678979814053
16,0.9354066985645934,0.8537252221462748,0.842447026657553,11.639833930879831,11.60790929198265,15.984368182718754
20,0.9438653451811346,0.8261278195488722,0.8378332194121668,13.234190084040165,13.189710475504398,18.193579226732254
