pretrain_epochs,cleancore_acc,gradmatch_acc,deem_acc,cleancore_time,gradmatch_time,deem_time
4,0.8388961892247043,0.8183968462549277,0.8176084099868594,2.5421489402651787,2.6529341340065002,2.128428466618061
8,0.8515111695137977,0.8031537450722733,0.8349540078843627,3.204431090503931,2.5483396761119366,2.5137305930256844
12,0.835742444152431,0.7726675427069645,0.8336399474375821,5.672206103801727,2.9561861380934715,3.115366980433464
16,0.8483574244415243,0.8144546649145861,0.8454664914586071,4.208687365055084,3.9987121112644672,3.635461263358593
20,0.8541392904073587,0.8157687253613666,0.8533508541392905,4.563855614513159,4.638737730681896,4.133681513369083
