pretrain_epochs,cleancore_acc,gradmatch_acc,deem_acc,cleancore_time,gradmatch_time,deem_time
4,0.8206445505787187,0.6580525794931371,0.737223011058044,126.25470649823546,82.00707729160786,145.63013963401318
8,0.8183210705219225,0.6442407813777377,0.7385310442752033,107.04726631194353,107.10882638394833,176.72216721251607
12,0.8371240480185879,0.6513919366636548,0.7413880641968934,142.41394948214293,135.99384352192283,192.21050325408578
16,0.8390430704358677,0.6305494600060239,0.7428165741577385,160.50075055658817,161.20596328750253,219.3433524183929
20,0.8384837141258982,0.6297577556903747,0.7330837743642701,158.50193794071674,189.96298940852284,226.52557658031583
