dataset,covertype,covertype,covertype,covertype,covertype,sensorless,sensorless,sensorless,sensorless,sensorless,pendigits,pendigits,pendigits,pendigits,pendigits,magic,magic,magic,magic,magic,miniboone,miniboone,miniboone,miniboone,miniboone
snapshot_L,2,4,6,8,10,2,4,6,8,10,2,4,6,8,10,2,4,6,8,10,2,4,6,8,10
accuracy,0.8225549675143066,0.827201927627899,0.8254550148444559,0.8240006884385354,0.8240006884385354,0.935663021189337,0.9384825700615175,0.9388243335611757,0.9365174299384825,0.9336978810663021,0.9588336192109777,0.9671240708976558,0.9665523156089194,0.9665523156089194,0.9665523156089194,0.8512483574244415,0.8538764783180026,0.8551905387647831,0.8551905387647831,0.8551905387647831,0.8985122823203783,0.8995502248875562,0.8986660515895898,0.8986660515895898,0.8986660515895898
total_time_sec,96.4640934318304,98.11362160742283,96.75885446742177,97.58703750371933,96.75625626370311,13.402003191411495,13.346184883266687,13.72429572045803,8.474988542497158,8.312813498079777,2.3068333007395267,1.6038315892219543,1.6522809192538261,1.6522392518818378,1.720388725399971,3.7660408094525337,2.7572779320180416,2.846600279211998,2.9277323856949806,2.8004362918436527,11.949026331305504,12.054144840687513,11.94895826652646,11.956001959741116,12.094004064798355
